"id","name","tm","pleiades","region"
313,"Western Thebes DeM 2002 - DeM 2003 - DeM 2004",1341,864388873,"Western Thebes"
314,"Western Thebes TT 251",1341,786067,"Western Thebes"
315,"Western Thebes C 6",1341,786067,"Western Thebes"
316,"Qasr el-Agouz",1341,786067,"Western Thebes"
317,"Western Thebes DeM 1401",1341,864788873,"Western Thebes"
318,"Western Thebes C 7",1341,786067,"Western Thebes"
319,"Western Thebes DeM 1400",1341,864388873,"Western Thebes"
320,"Western Thebes C' 7",1341,786067,"Western Thebes"
321,"Western Thebes QV hamlet",1341,786067,"Western Thebes"
322,"Pshanti",,,"Fayyum"
323,"Fayyum","332, 1255",736893,"Fayyum"
324,"Deir el-Saqiyya",,,"Western Thebes"
325,"Koprithis",5320,,"Lower Egypt (Delta)"
326,"Kom Sidi Uqba",,,"Lower Egypt (Delta)"
327,"Magdola",1284,736956,"Fayyum"
328,"Leontopolis (Tell el-Yahudiya)",1239,727146,"Lower Egypt (Delta)"
329,"Mendes",1351,727156,"Lower Egypt (Delta)"
330,"Western Thebes MMA 803",1341,786067,"Western Thebes"
331,"Western Thebes MMA 804",1341,786067,"Western Thebes"
332,"Western Thebes MMA 1106",1341,786067,"Western Thebes"
333,"Western Thebes MMA 1107 (=TT 22)",1341,786067,"Western Thebes"
334,"Western Thebes MMA 1109",1341,786067,"Western Thebes"
335,"Western Thebes MMA 1112",1341,786067,"Western Thebes"
336,"Deir el-Hammam",2756,,"Fayyum"
337,"Monastery of Apa Selbane in honour of the Virgin",,,"Fayyum"
338,"Taposiris Magna",2260,7272741,
339,"Female Monastery at Atripe",5162,756538,"Northern Upper Egypt"
340,"Pseudo Deir Abu Lifah",,,"Fayyum"
341,"El-Kanais",,,"Fayyum"
342,"Upper Egypt",2766,,
343,"Lower Egypt",2712,,
344,"Monastery of Apa St. Sansnos",,,
345,"Talit",2236,737065,"Fayyum"
346,"Monastery (?) of St. Theodoros",,,"Fayyum"
347,"Tahanhor",,,"Northern Upper Egypt"
348,"Ousia of Apa Hafs",,,
349,"Samalut","4834, 3222",737054,"Northern Upper Egypt"
350,"Tell el-Burashiya",5128,,"Lower Egypt (Delta)"
351,"Kom Yetwal wa Yuksur",,,"Lower Egypt (Delta)"
352,"Monastery of Apa Epima at Pshonte",89,741414,"Fayyum"
353,"Tmekra",42927,,"Northern Upper Egypt"
354,"Monastery of St. Theodoros",,,"Fayyum"
355,"Pishai",1836,737015,"Fayyum"
356,"Phantoou Nerebe",5932,,"Northern Upper Egypt"
357,"Tmouou ","2444, 1397",,"Fayyum"
358,"Faras",3170,795838,"Nubia"
359,"Dongola",5080,865674318,
360,"Qasr el-Wizz",3481,,"Nubia"
361,"Tidjephrone",,,
362,"Abdallah-n Irqi",14237,,"Nubia"
363,"Wadi Halfa",2499,,"Nubia"
364,"Andoumana",3448,,"Nubia"
365,"Thraso",2417,741593,"Fayyum"
366,"Naga el-Sheima","3164, 3493",,"Nubia"
367,"Deir Mar Tumas",3486,795886,"Northern Upper Egypt"
368,"Upper Ansina",2774,756518,"Middle Egypt"
369,"Wadi Sarga",2843,756676,"Northern Upper Egypt"
370,"Helwan",4918,,"Memphis"
371,"Deir el-Nasara",,,"Southern upper Egypt"
372,"Deir el-Misaykra",,,"Southern upper Egypt"
373,"Deir el-Namus",,,"Southern upper Egypt"
374,"Deir el-Matmar",,,"Southern upper Egypt"
