"toponimo","paths_place","descrizione","culto_contemporaneo","note_culto_contemporaneo","note_fasi_precedenti","data_fondazione_chiesa_attuale","data_ristrutturazione_chiesa_attuale","oggetti_collegati_alla_sf","meta_di_pellegrinaggio","meta_pellegrinaggio_sf","note_pellegrinaggio","luogo_abitato","lat","lng"
"Cairo","","","1","","","","","","","","","",30.00203,31.230791
"Bethshemesh","","","","","","","","","","","","",,
"Matariya","","","1","Presenza di numerose Chiese cattoliche, moschee e case dedicate alla Vergine Maria","","","","Albero secolare di Matariya, pozzo","1","1","Numerosi luoghi di culto musulmani, cristiani cattolici e copti.","1",30.131586,31.311102
"Zaytun","","","1","Apparizione della Vergine Maria nel 1968","","","","Statua della Vergine Maria","0","0","","",30.105203,31.302575
"Klot Bek","","","1","Presente una residenza per monaci.","Chiesa di San Marco","IV secolo d.C.","","Pozzo","0","1","I pellegrini vengono a venerare un pozzo benedetto.","1",30.058957,31.249379
"Anba Ruways","","","1","Patriarcato dei copti ortodossi","Evoluzione della Chiesa di San Marco in Cattedrale","1968","","","0","1","","1",30.071841,31.274515
"Harat Zuwayla","","","1","Chiesa dedicata alla Vergine Maria","","V secolo","","Parte di un pozzo sacro con proprietà benefiche","0","1","","1",30.283611,31.738611
"Babylon","144","","1","Chiesa di Abu Sarga considerata benedetta","Era presente una cripta del Bastione di Babylon.","","","Racconti dei pellegrini nel corso della storia.","1","1","Punto di riferimento per la cristianità e per i musulmani con numerose Chiese e Moschee.","1",30.001891,31.23081
"Ma'adi","","","1","Chiesa di Santa Maria di Ma'adi","","","","Bibbia trovata da un diacono sulle sponde del Nilo e oggi reliquia del sito.","0","1","Adorazione della reliquia e richiesta di miracoli o benedizioni","1",29.974775,31.258415
"Ishnin al-Nasara","","","1","Nella Chiesa ci sono molte attività per i pellegrini e il 21 agosto alle 16:00 vi è la commemorazione dell'antico pozzo.","","circa XIX secolo","Seconda metà del X secolo","Pozzo","1","1","Adorazione del pozzo e dell'acqua benedetta che ha proprietà benefiche.","1",28.613897,30.773125
"Dayr al-Garnus","","","1","Chiesa della Santa Vergine di Dayr al-Garnus","La Chiesa attuale è stata eretta sulle rovine di un'antica Chiesa risalente al XVII secolo che a sua volta è stata eretta su un sito ancor più antico.","1924","","Pozzo","1","1","Maggiore affluenza nei giorni del 1 giugno per la cerimonia del pozzo e 21 agosto per la festa della Santa Vergine Maria.","1",28.610168,30.70761
"Al-Bahnasa","31","","1","Chiesa di San Giorgio","Antichissima Chiesa facente parte di un complesso più ampio di 366 Chiese ancora non rinvenute.","1923","1995","Pozzo e un albero","1","1","Adorazione del pozzo e dell'albero sacro","1",28.536612,30.665219
"Gabal al-Tayr","","","1","Chiesa della Santa Vergine Maria di Gabal al-Tayr","","IV secolo d.C.","","Roccia contenente l'impronta della mano del piccolo Gesù.","1","1","I pellegrini in occasione della festa della Santa Vergine Maria si riversano fiumi di pellegrini.","0",28.231132,30.763173
"Minya","146","","1","Chiesa rupestre di Apa Hor e Chiesa di San Dimyana","","","","Antico pozzo","0","1","I pellegrini vanno a venerare l'antico pozzo","1",28.06292,30.773122
"Bani Hasan","","","0","","","","","","1","0","Resti di molti cristiani riconducibili al IV o VI secolo.","1",28.155859,30.674114
"Al-Ashmunayn","","","1","Chiesa della Santa Vergine Maria e dei Martiri","","","","Un albero liberato da Gesù in quanto impossessato dal demonio","0","1","Rovine di siti antichi ed in particolare nei confronti di una colonna corinzia di una Basilica risalente all'epoca romana.","1",27.774867,30.805665
"Shayk ""Abada""","","","0","","","","","","0","0","","1",27.805883,30.873919
"Dayr Abu Hinnis","","","1","Presenza di tre chiese ortodosse e due evangeliche, tra cui quella di Abu Hinnis","","","","Collina di Maria","1","1","I pellegrini vanno alla Collina di Maria principalmente a gennaio quando si commemora l'omicidio dei bambini di Betlemme da parte di Erode. A giugno invece c'è la commemorazione del passaggio della Sacra famiglia e vi è una processione con il vescovo presente.","1",27.789196,30.903513
"Bir al-Sahaba","","","0","","","","","Pozzo","1","1","Speranza di ottenere miracolose guarigioni dall'antico pozzo benedetto.","0",,
"Dayr Abu Sarabam","","","1","Monastero di Abu Sarabam","","IV secolo d.C.","1992","Albero che si trova nel mezzo del cimitero cristiano.","1","1","Venerazione dell'albero di Dayrut.","1",27.551679,30.808193
"Al-Qusiya","","","0","","","","","Fino al 1960 era presente un pozzo all'interno del villaggio e benedetto dalla Sacra Famiglia","0","0","","1",27.447946,30.8007
"al-Muharraq","","","1","Chiesa della Santa Vergine Maria e monastero di al-Muharraq","","1880 e 1964","2000","Pozzo, altare.","1","1","Pellegrini che vengono a chiedere la remissione di tutti i peccati e la guarigioni di tutti i mali. Il pellegrinaggio è il più importante dell'itinerario della Sacra Famiglia, paragonabile alla visita di Gerusalemme.","1",27.384657,30.778826
"Port Said","","","","","","","","","","","","",31.267374,32.309058
"Damietta","","","","","","","","","","","","",31.418061,31.814078
"Rosetta","","","","","","","","","","","","",31.394704,30.413467
"Alessandria","","","","","","","","","","","","",31.201087,29.924637
"Damanhur","","","","","","","","","","","","",31.041822,30.455866
"Tanta","","","","","","","","","","","","",30.790787,30.989231
"Mansura","","","","","","","","","","","","",31.028206,31.381614
"Ismailia","","","","","","","","","","","","",30.606526,32.287415
"Tell al-Maskhuta","","","","","","","","","","","","",30.559403,32.037226
"al-Qassasin","","","","","","","","","","","","",30.563144,31.935301
"Tell al-Kabir","","","","","","","","","","","","",30.457419,31.923615
"Saft al-hinna","","","","","","","","","","","","",30.554337,31.61108
"Suez","","","","","","","","","","","","",29.980304,32.520943
"Saqqarah","","","","","","","","","","","","",29.850072,31.216495
"Faiyum","","","","","","","","","","","","",29.306088,30.846558
"al-Wasta","","","","","","","","","","","","",29.294829,31.148945
"ihnasiya","","","","","","","","","","","","",,
"Dayr al maymum","","","","","","","","","","","","",,
"Beni Suef","","","","","","","","","","","","",29.067063,31.102051
"Maghagha","","","","","","","","","","","","",28.646224,30.844233
"Beni Mazar","","","","","","","","","","","","",28.495168,30.803755
"Samalut","","","","","","","","","","","","",28.300581,30.716474
"Sawada","","","","","","","","","","","","",28.078576,30.788433
"Mallawi","","","","","","","","","","","","",27.735188,30.8329
"Dayr al-Barsha","","","","","","","","","","","","",27.757134,30.902294
"Tell al-Amama","","","","","","","","","","","","",27.649405,30.899245
"Dayrut umm Nakhlah","","","","","","","","","","","","",27.555042,30.802665
"Sanabu","","","","","","","","","","","","",27.493257,30.788329
"al-Qusayr","","","","","","","","","","","","",26.101751,34.280577
"al-Qusiya","","","","","","","","","","","","",27.447946,30.8007
"Buq","","","","","","","","","","","","",27.400419,30.834537
"Asyut","","","","","","","","","","","","",27.177392,31.177738
"Durunka","","","","","","","","","","","","",27.121463,31.189903
